ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
38,"Xã Kim Ngân",D+4-7,"Mùa khô (T1-T8)",1344,580,1.1,3.42,3.44,0.94,0.46
39,"Xã Dân Hóa",D+1-3,"Mùa mưa (T9-T12)",255,111,2.2,7,9.9,6.24,8.7
39,"Xã Dân Hóa",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,6.53,6.98,1.79,1.3
39,"Xã Dân Hóa",D+4-7,"Mùa mưa (T9-T12)",340,148,1.3,7.69,14.55,7.4,13.87
39,"Xã Dân Hóa",D+4-7,"Mùa khô (T1-T8)",1344,580,0.4,6.26,6.69,0.97,0.57
40,"Xã Trường Sơn",D+1-3,"Mùa mưa (T9-T12)",255,111,2,3.9,5,-0.07,1.68
40,"Xã Trường Sơn",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.03,4.51,1.22,0.96
40,"Xã Trường Sơn",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,4.96,8.27,-0.21,3.54
40,"Xã Trường Sơn",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.86,5.39,0.82,1.67
41,"Xã Thượng Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2.3,2.9,4.16,1.42,2.6
41,"Xã Thượng Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.8,5,4.53,2.81,1.25
41,"Xã Thượng Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,3.95,7.91,2.28,6.29
41,"Xã Thượng Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.9,4.52,5.12,1.99,1.59
42,"Xã Tân Gianh",D+1-3,"Mùa mưa (T9-T12)",255,111,1.6,2.16,2.59,-0.44,-0.61
42,"Xã Tân Gianh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,3.55,7.12,2.38,5.87
42,"Xã Tân Gianh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,3.97,7.9,1.4,5.01
42,"Xã Tân Gianh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.8,4.31,1.39,2.62
